Wintersemester,Zusammen,Maenner,Frauen
1955/56,19124,15361,3763
1960/61,38533,29668,8865
1961/62,42645,32674,9971
1962/63,45662,34685,10977
1963/64,47270,36011,11259
1964/65,48082,36572,11510
1965/66,48895,37227,11668
1966/67,48965,37067,11898
1967/68,51013,38893,12120
1968/69 ,49093,37187,11906
1969/70 ,50117,37728,12389
1970/71,53152,39883,13269
1971/72,57930,42368,15562
1972/73,64806,46008,18798
1973/74,70878,48948,21930
1974/75,75246,50826,24420
1975/76 ,81324,53643,27681
1976/77 ,87924,56679,31245
1977/78 ,94386,59382,35004
1978/79 ,101330,62665,38665
1979/80 ,109121,66398,42723
1980/81 ,115616,69768,45848
1981/82 ,125505,74635,50870
1982/83 ,133813,78510,55303
1983/84 ,142159,82717,59442
1984/85 ,151934,87287,64647
1985/86 ,160904,91395,69509
1986/87 ,168182,94940,73242
1987/88 ,175510,98560,76950
1988/89 ,179484,100783,78701
1989/90 ,186149,103944,82205
1990/91 ,193479,108050,85429
1991/92 ,201874,112254,89620
1992/93 ,205769,113922,91847
1993/94 ,210639,115651,94988
1994/95 ,216127,116871,99256
1995/96 ,220341,117348,102993
1996/97 ,220345,116071,104274
1997/98 ,219162,113325,105837
1998/99 ,221067,112367,108700
1999/00,227302,113163,114139
2000/01,227948,111185,116763
2001/02,182805,87268,95537
2002/03,186226,88031,98195
2003/04,192560,90070,102490
2004/05,195763,91054,104709
2005/06,203453,94342,109111
2006/07,209416,96898,112518
2007/08,217587,100568,117019
2008/09,223562,103180,120382
2009/10,255561,118327,137234
2010/11,265030,122809,142221
2011/12,272061,126734,145327
2012/13,275523,128974,146549
2013/14,273280,128249,145031
2014/15,277508,130476,147032
2015/16,280445,132011,148434
2016/17,280783,132254,148529
2017/18,278052,130526,147526
